1,facebook.com,Социальные сети,540,570 000.0
2,yahoo.com,Интернет-порталы,490,70 000.0
3,live.com,Поисковые сервера,370,39 000.0
4,wikipedia.org,Справочники и энциклопедии,310,7 900.0
5,msn.com,Интернет-порталы,280,11 000.0
6,microsoft.com,Программное обеспечение,230,3 300.0
7,blogspot.com,Блоги,230,4 400.0
8,baidu.com,Интернет-порталы,230,27 000.0
9,qq.com,Коммуникационный портал,170,25 000.0
10,mozilla.com,Браузеры,140,2 100.0
11,sina.com.cn,Интернет-порталы,130,3 600.0
12,wordpress.com,Блоги,120,1 200.0
13,bing.com,Поисковые сервера,110,2 700.0
14,adobe.com,Программное обеспечение,110,1 000.0
15,163.com,Интернет-порталы,98,2 700.0
16,taobao.com,Онлайн магазины,98,10 000.0
17,soso.com,Развлекательный ресурс,97,1 400.0
18,twitter.com,Микроблоггинговый сервис,96,5 400.0
19,youku.com,Хранилище видео файлов,89,1 700.0
20,ask.com,Поисковые сервера,88,1 700.0
21,sohu.com,Интернет-порталы,82,1 900.0
22,amazon.com,Онлайн магазины,74,3 300.0
23,windows.com,-,74,490
24,ebay.com,Онлайн аукционы,74,9 400.0
25,yahoo.co.jp,Интернет-порталы,72,27 000.0
26,myspace.com,Социальные сети,72,27 000.0
27,apple.com,-,72,960
28,tudou.com,Хранилище фото и видео файлов,66,1 100.0
29,conduit.com,Реклама и маркетинг,60,2 000.0
30,hotmail.com,Коммуникационный портал,60,1 100.0
31,flickr.com,Хранилище фото и видео файлов,55,1 800.0
32,photobucket.com,Хранилище фото и видео файлов,55,1 100.0
33,tianya.cn,Онлайн коммуникации,55,590
34,about.com,Информационный ресурс,55,710
35,cnet.com,Новости технологий,55,490
36,hao123.com,Интернет-каталоги,50,1 400.0
37,iefxz.com,-,50,270
38,xunlei.com,Телевизионные сети,50,870
39,paypal.com,Платежные системы,49,1 900.0
40,rapidshare.com,Хранилище файлов и хостинг,46,800
41,go.com,Интернет-порталы,46,3 000.0
42,fc2.com,Блоги,45,2 400.0
43,bbc.co.uk,Новости,45,2 500.0
44,imdb.com,Кино (фильмы),45,1 400.0
45,orkut.com,Социальные сети,45,5 300.0
46,sogou.com,Интернет-порталы,45,540
47,56.com,Мультимедиа,42,450
48,aol.com,Интернет-порталы,42,4 400.0
49,craigslist.org,Онлайн объявления,42,14 000.0
50,rakuten.co.jp,Онлайн магазины,41,4 000.0
51,imageshack.us,Хранилище файлов и хостинг,41,310
52,ku6.com,Мультимедиа,41,410
53,blogger.com,Блоги,41,1 700.0
54,goo.ne.jp,Интернет-сервисы,41,810
55,ifeng.com,Новости,41,860
56,linkedin.com,Социальные сети,38,1 700.0
57,yandex.ru,Поисковые сервера,38,7 000.0
58,mail.ru,Коммуникационный портал,37,10 000.0
59,partypoker.com,Онлайн казино,35,280
60,megaupload.com,Хранилище файлов и хостинг,34,880
61,answers.com,Справочники и энциклопедии,34,250
62,alibaba.com,Корпоративные операции,34,800
63,hi5.com,Социальные сети,34,9 500.0
64,cnn.com,Новости,34,1 300.0
65,amazon.co.jp,Онлайн магазины,34,1 100.0
66,4shared.com,Хранилище файлов и хостинг,31,1 600.0
67,ameblo.jp,Блоги,31,1 300.0
68,gougou.com,Интернет-сервисы,31,410
69,skype.com,-,31,370
70,renren.com,Социальные сети,31,2 000.0
71,dailymotion.com,Хранилище видео файлов,31,540
72,naver.com,Поисковые сервера,31,5 400.0
73,weather.com,Погода,31,890
74,mozilla.org,Браузеры,29,210
75,mediafire.com,Хранилище файлов и хостинг,29,370
76,bit.ly,Хранилище файлов и хостинг,28,330
77,hp.com,Образовательные ресурсы,28,650
78,livedoor.jp,Блоги,28,490
79,ehow.com,Информационный ресурс,28,190
80,nifty.com,Интернет-провайдер,28,660
81,vkontakte.ru,Социальные сети,26,30 000.0
82,alipay.com,Финансовые услуги,26,660
83,nytimes.com,Газеты,26,600
84,overture.com,Поисковые сервера,26,230
85,sourceforge.net,Веб-сайт,26,230
86,fbcdn.net,Онлайн переводчики,25,170
87,xtendmedia.com,Хостинг и конструктор сайтов,25,160
88,xinhuanet.com,Новости,25,190
89,wikimedia.org,Справочники и энциклопедии,25,140
90,pconline.com.cn,Мобильные телефоны,25,250
91,daum.net,Онлайн коммуникации,25,2 500.0
92,4399.com,Онлайн игры,24,800
93,bankofamerica.com,Финансовые услуги,24,2 300.0
94,ebay.de,Онлайн аукционы,23,5 800.0
95,uol.com.br,Интернет-порталы,23,4 000.0
96,filestube.com,Хранилище файлов и хостинг,23,250
97,zol.com.cn,Электроника,23,310
98,mop.com,Ролевые игры,23,250
99,alexa.com,Поисковая оптимизация,23,960
100,biglobe.ne.jp,Интернет-порталы,22,370
101,brothersoft.com,Программное обеспечение,22,130
102,scribd.com,Электронные книги,21,130
103,softonic.com,Компьютеры и электроника,21,340
104,mapquest.com,Географические карты,21,400
105,dell.com,Форумы и чаты,21,500
106,people.com.cn,Развлекательный ресурс,21,170
107,kaixin001.com,Интернет-сервисы,21,1 400.0
108,geocities.jp,Web-хостинг,21,230
109,ebay.co.uk,Онлайн аукционы,21,4 900.0
110,hatena.ne.jp,Блоги,21,190
111,seesaa.net,Поисковые сервера,21,160
112,badoo.com,Социальные сети,21,3 600.0
113,megavideo.com,Хранилище видео файлов,21,330
114,126.com,Программное обеспечение,21,310
115,paipai.com,Онлайн аукционы,21,330
116,avg.com,Антивирусные программы,21,170
117,pps.tv,Хранилище видео файлов,21,230
118,odnoklassniki.ru,Социальные сети,21,5 300.0
119,free.fr,Интернет-провайдер,20,860
120,mywebsearch.com,Социальные сети,20,800
121,infoseek.co.jp,Интернет-порталы,19,410
122,zynga.com,Онлайн игры,19,3 000.0
123,depositfiles.com,Хранилище файлов и хостинг,19,280
124,metacafe.com,Хранилище видео файлов,19,410
125,chase.com,Финансовые услуги,19,2 100.0
126,thepiratebay.org,Хранилище файлов и хостинг,19,720
127,kakaku.com,Онлайн магазины,19,720
128,cctv.com,Телевизионные сети,19,170
129,optmd.com,Социальные сети,19,89
130,hotfile.com,Хранилище файлов и хостинг,19,280
131,com.com,Новости технологий,19,81
132,ning.com,Социальные сети,19,600
133,ocn.ne.jp,Интернет-провайдер,18,250
134,vk.com,Поисковые сервера,18,960
135,game2.com.cn,Порно,18,88
136,youdao.com,Хранилище фото и видео файлов,18,97
137,getpersonas.com,Браузеры,18,330
138,tripadvisor.com,Отели,18,410
139,nate.com,Интернет-порталы,18,1 700.0
140,livejournal.com,Блоги,18,1 000.0
141,soufun.com,Недвижимость,18,250
142,zedo.com,Электронная коммерция,18,130
143,browserchoice.eu,Браузеры,18,81
144,thefreedictionary.com,Справочники и энциклопедии,17,130
145,2ch.net,Коммуникационный портал,17,590
146,tinypic.com,Хранилище фото и видео файлов,17,190
147,java.com,Программное обеспечение (Java),17,120
148,narod.ru,Блоги,17,210
149,xici.net,Онлайн коммуникации,17,73
150,walmart.com,Продуктовые магазины,17,720
151,114la.com,Интернет-каталоги,17,170
152,joy.cn,Кино (фильмы),17,130
153,addthis.com,Программное обеспечение (Java),17,89
154,globo.com,Новости,17,2 700.0
155,360.cn,-,16,160
156,cocolog-nifty.com,Интернет-сервисы,16,160
157,netflix.com,Кино (фильмы),16,1 200.0
158,target.com,Интернет магазины,16,450
159,58.com,Онлайн объявления,16,190
160,cyworld.com,Интернет-порталы,16,1 200.0
161,unionsky.cn,Интернет-магазины,16,97
162,tom.com,Интернет-порталы,16,310
163,amazon.de,Книжные магазины,16,970
164,netlog.com,Социальные сети,16,1 900.0
165,amazon.co.uk,Книжные магазины,16,790
166,reference.com,Справочники и энциклопедии,16,250
167,douban.com,Социальные сети,16,300
168,eastmoney.com,Финансы и страхование,16,370
169,livedoor.com,Интернет-порталы,16,410
170,hexun.com,Инвестирование,16,140
171,liveperson.net,Интернет-магазин одежды,16,120
172,7k7k.com,Онлайн игры,16,600
173,miniclip.com,Онлайн игры,16,450
174,so-net.ne.jp,Интернет-провайдер,16,170
175,39.net,Здоровье,16,120
176,nih.gov,Медицинские справочники,15,300
177,sakura.ne.jp,Web-хостинг,15,250
178,rambler.ru,Интернет-порталы,15,1 400.0
179,reuters.com,Новости,15,190
180,kugou.com,Кино (фильмы),15,88
181,mixi.jp,Социальные сети,15,3 000.0
182,terra.com.br,Музыкальные файлы и тексты,15,1 400.0
183,tripod.com,Web-хостинг,15,89
184,mcafee.com,Антивирусные программы,14,140
185,att.com,Сервис-провайдеры,14,720
186,weather.com.cn,Погода,14,80
187,tagged.com,Социальные сети,14,4 100.0
188,atpanel.com,Онлайн магазины,14,66
189,2345.com,Отели,14,410
190,zing.vn,-,14,1 300.0
191,exblog.jp,Блоги,14,190
192,chinamobile.com,Сервис-провайдеры,14,210
193,expedia.com,Онлайн бронирование отелей,14,500
194,ameba.jp,Блоги,14,1 200.0
195,tinyurl.com,Интернет-сервисы,14,74
196,chinanews.com.cn,Новости,13,130
197,1stwebgame.com,-,13,51
198,commentcamarche.net,Компьютеры и электроника,13,210
199,allabout.co.jp,Кулинарные рецепты,13,97
200,taringa.net,Развлекательный ресурс,13,450
201,nicovideo.jp,Хранилище видео файлов,13,1 300.0
202,domaintools.com,Web-хостинг,13,81
203,jugem.jp,Блоги,13,110
204,excite.co.jp,Интернет-порталы,13,210
205,autohome.com.cn,Автомобильный портал,13,410
206,typepad.com,Блоги,13,140
207,ezinearticles.com,Справочники и энциклопедии,13,120
208,shopping.com,Интернет-магазины обуви,13,88
209,deviantart.com,Изобразительное искусство,13,880
210,gstatic.com,-,13,97
211,,Онлайн магазины,13,140
212,ikea.com,Производство товаров для дома,13,720
213,yomiuri.co.jp,Газеты,13,260
214,maktoob.com,Интернет-порталы,13,410
215,web.de,Развлекательный ресурс,13,2 100.0
216,informharry.com,-,13,96
217,alimama.com,Реклама и маркетинг,13,120
218,ynet.com,Олимпиады и конкурсы,13,260
219,softpedia.com,Программное обеспечение,13,89
220,china.com,Интернет-порталы,13,230
221,6.cn,Хранилище видео файлов,13,67
222,5599.net,Социальные сети,13,490
223,cntv.cn,Телевизионные сети,13,110
224,booking.com,Интернет-бронирование,13,330
225,orange.fr,Сервис-провайдеры,13,5 400.0
226,advmaker.ru,Рекламная сеть,13,190
227,verycd.com,Хранилище файлов и хостинг,13,190
228,multiply.com,Блоги,13,230
